,entity,year,source,production_percent,consumption_percent,renewable,cp_ratio,production_relative_to_source,consumption_relative_to_source,cp_ratio_relative_to_source,date
6923,Ecuador,2003,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2003-01-01
6924,Ecuador,2004,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2004-01-01
6925,Ecuador,2005,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2005-01-01
6926,Ecuador,2006,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2006-01-01
6927,Ecuador,2007,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2007-01-01
6928,Ecuador,2008,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2008-01-01
6929,Ecuador,2009,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2009-01-01
6930,Ecuador,2010,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2010-01-01
6931,Ecuador,2011,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2011-01-01
6932,Ecuador,2012,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2012-01-01
6933,Ecuador,2013,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2013-01-01
6934,Ecuador,2014,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2014-01-01
6935,Ecuador,2015,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2015-01-01
6936,Ecuador,2016,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2016-01-01
6937,Ecuador,2017,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2017-01-01
6938,Ecuador,2018,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2018-01-01
6939,Ecuador,2019,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2019-01-01
